[18:21:31] FileCore: some sussy error
[18:22:58] FileCore: some sussy error
[18:24:23] FileCore: some sussy error
[18:26:19] FileCore: some sussy error
[18:32:53] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[18:35:22] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:01:28] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:02:13] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:03:16] FileCore: sus
[19:13:42] FileCore: sus
[19:13:42] FileCore: Loaded Game Framework
[19:24:46] FileCore: sus
[19:24:46] FileCore: Loaded Game Framework
[19:47:28] FileCore: sus
[19:47:28] FileCore: Loaded Game Framework
[19:52:41] FileCore: sus
[19:52:41] FileCore: Loaded Game Framework
[19:52:49] FileCore: sus
[19:52:49] FileCore: Loaded Game Framework
[19:52:53] FileCore: sus
[19:52:53] FileCore: Loaded Game Framework
[19:55:11] FileCore: sus
[19:55:58] FileCore: Loaded Game Framework
[20:12:57] FileCore: app
[20:12:57] FileCore: Loaded Game Framework
[20:15:09] FileCore: app
[20:15:09] FileCore: Loaded Game Framework
[20:17:59] FileCore: Started App
[20:17:59] FileCore: Loaded Game Framework
[20:18:46] FileCore: Started App
[20:18:47] FileCore: Loaded Game Framework
[20:18:47] FileCore: Loaded Project
[20:24:12] FileCore: Created Random Class
[20:24:12] FileCore: Started App, random = 0.971042
[23:05:43] FileCore: Started App, random = 0.678819
[23:05:43] FileCore: Started App, random = 0.890285
[23:05:43] FileCore: Started App, random = 0.568143
[23:05:43] FileCore: Started App, random = 0.912693
[23:05:43] FileCore: Started App, random = 0.697571
[23:05:43] FileCore: Started App, random = 0.288563
[23:05:43] FileCore: Started App, random = 0.834937
[23:05:43] FileCore: Started App, random = 0.080679
[23:05:43] FileCore: Started App, random = 0.810111
[23:05:43] FileCore: Started App, random = 0.784539
[23:05:43] FileCore: Started App, random = 0.664256
[23:05:43] FileCore: Started App, random = 0.237761
[23:05:43] FileCore: Started App, random = 0.656693
[23:05:43] FileCore: Started App, random = 0.969560
[23:05:43] FileCore: Started App, random = 0.239895
[23:05:43] FileCore: Started App, random = 0.861988
[23:05:43] FileCore: Started App, random = 0.958934
[23:05:43] FileCore: Started App, random = 0.829518
[23:05:43] FileCore: Started App, random = 0.524926
[23:05:43] FileCore: Started App, random = 0.923904
[23:05:43] FileCore: Started App, random = 0.859968
[23:05:43] FileCore: Started App, random = 0.980342
[23:05:43] FileCore: Started App, random = 0.877400
[23:05:43] FileCore: Started App, random = 0.413606
[23:05:43] FileCore: Started App, random = 0.880234
[23:05:43] FileCore: Started App, random = 0.412486
[23:05:43] FileCore: Started App, random = 0.352102
[23:05:43] FileCore: Started App, random = 0.681842
[23:05:43] FileCore: Started App, random = 0.910151
[23:05:43] FileCore: Started App, random = 0.847214
[23:05:43] FileCore: Started App, random = 0.314765
[23:05:43] FileCore: Started App, random = 0.767220
[23:05:43] FileCore: Started App, random = 0.215335
[23:05:43] FileCore: Started App, random = 0.994850
[23:05:43] FileCore: Started App, random = 0.100612
[23:05:43] FileCore: Started App, random = 0.887259
[23:05:43] FileCore: Started App, random = 0.038470
[23:05:43] FileCore: Started App, random = 0.512432
[23:05:43] FileCore: Started App, random = 0.084951
[23:05:43] FileCore: Started App, random = 0.201377
[23:05:43] FileCore: Started App, random = 0.277702
[23:05:43] FileCore: Started App, random = 0.595854
[23:05:43] FileCore: Started App, random = 0.254264
[23:05:43] FileCore: Started App, random = 0.671604
[23:05:43] FileCore: Started App, random = 0.016400
[23:05:43] FileCore: Started App, random = 0.860933
[23:05:43] FileCore: Started App, random = 0.232398
[23:05:43] FileCore: Started App, random = 0.550895
[23:05:43] FileCore: Started App, random = 0.369235
[23:05:43] FileCore: Started App, random = 0.569744
[23:05:43] FileCore: Started App, random = 0.747908
[23:05:43] FileCore: Started App, random = 0.275841
[23:05:43] FileCore: Started App, random = 0.338739
[23:05:43] FileCore: Started App, random = 0.659800
[23:05:43] FileCore: Started App, random = 0.793854
[23:05:43] FileCore: Started App, random = 0.128831
[23:05:43] FileCore: Started App, random = 0.050732
[23:05:43] FileCore: Started App, random = 0.690679
[23:05:43] FileCore: Started App, random = 0.153901
[23:05:43] FileCore: Started App, random = 0.232819
[23:05:43] FileCore: Started App, random = 0.013969
[23:05:43] FileCore: Started App, random = 0.209270
[23:05:43] FileCore: Started App, random = 0.879625
[23:05:43] FileCore: Started App, random = 0.885684
[23:05:43] FileCore: Started App, random = 0.037747
[23:05:43] FileCore: Started App, random = 0.413954
[23:05:43] FileCore: Started App, random = 0.043298
[23:05:43] FileCore: Started App, random = 0.462993
[23:05:43] FileCore: Started App, random = 0.348614
[23:05:43] FileCore: Started App, random = 0.541720
[23:05:43] FileCore: Started App, random = 0.713481
[23:05:43] FileCore: Started App, random = 0.143805
[23:05:43] FileCore: Started App, random = 0.413730
[23:05:43] FileCore: Started App, random = 0.015623
[23:05:43] FileCore: Started App, random = 0.137946
[23:05:43] FileCore: Started App, random = 0.567301
[23:05:43] FileCore: Started App, random = 0.552235
[23:05:43] FileCore: Started App, random = 0.988120
[23:05:43] FileCore: Started App, random = 0.988653
[23:05:43] FileCore: Started App, random = 0.535420
[23:05:43] FileCore: Started App, random = 0.274930
[23:05:43] FileCore: Started App, random = 0.487370
[23:05:43] FileCore: Started App, random = 0.185803
[23:05:43] FileCore: Started App, random = 0.631793
[23:05:43] FileCore: Started App, random = 0.061478
[23:05:43] FileCore: Started App, random = 0.290327
[23:05:43] FileCore: Started App, random = 0.300908
[23:05:43] FileCore: Started App, random = 0.209256
[23:05:43] FileCore: Started App, random = 0.889883
[23:05:43] FileCore: Started App, random = 0.470427
[23:05:43] FileCore: Started App, random = 0.597243
[23:05:43] FileCore: Started App, random = 0.620961
[23:05:43] FileCore: Started App, random = 0.258958
[23:05:43] FileCore: Started App, random = 0.672115
[23:05:43] FileCore: Started App, random = 0.390553
[23:05:43] FileCore: Started App, random = 0.706758
[23:05:43] FileCore: Started App, random = 0.040975
[23:05:43] FileCore: Started App, random = 0.078553
[23:05:43] FileCore: Started App, random = 0.826844
[23:05:43] FileCore: Started App, random = 0.673898
[23:05:43] FileCore: Started App, random = 0.756635
[23:05:43] FileCore: Started App, random = 0.240757
[23:05:43] FileCore: Started App, random = 0.820532
[23:05:43] FileCore: Started App, random = 0.153816
[23:05:43] FileCore: Started App, random = 0.040501
[23:05:43] FileCore: Started App, random = 0.862208
[23:05:43] FileCore: Started App, random = 0.639833
[23:05:43] FileCore: Started App, random = 0.662309
[23:05:43] FileCore: Started App, random = 0.361505
[23:05:43] FileCore: Started App, random = 0.543029
[23:05:43] FileCore: Started App, random = 0.417492
[23:05:43] FileCore: Started App, random = 0.545345
[23:05:43] FileCore: Started App, random = 0.936756
[23:05:43] FileCore: Started App, random = 0.831553
[23:05:43] FileCore: Started App, random = 0.077921
[23:05:43] FileCore: Started App, random = 0.630499
[23:05:43] FileCore: Started App, random = 0.805027
[23:05:43] FileCore: Started App, random = 0.113549
[23:05:43] FileCore: Started App, random = 0.080442
[23:05:43] FileCore: Started App, random = 0.094356
[23:05:43] FileCore: Started App, random = 0.862228
[23:05:43] FileCore: Started App, random = 0.006614
[23:05:43] FileCore: Started App, random = 0.946002
[23:05:43] FileCore: Started App, random = 0.675577
[23:05:43] FileCore: Started App, random = 0.565196
[23:05:43] FileCore: Started App, random = 0.773197
[23:05:43] FileCore: Started App, random = 0.359058
[23:05:43] FileCore: Started App, random = 0.449283
[23:05:43] FileCore: Started App, random = 0.122896
[23:05:43] FileCore: Started App, random = 0.445394
[23:05:43] FileCore: Started App, random = 0.419302
[23:05:43] FileCore: Started App, random = 0.815221
[23:05:43] FileCore: Started App, random = 0.010681
[23:05:43] FileCore: Started App, random = 0.967432
[23:05:43] FileCore: Started App, random = 0.705437
[23:05:43] FileCore: Started App, random = 0.940357
[23:05:43] FileCore: Started App, random = 0.873552
[23:05:43] FileCore: Started App, random = 0.904619
[23:05:43] FileCore: Started App, random = 0.114155
[23:05:43] FileCore: Started App, random = 0.083318
[23:05:43] FileCore: Started App, random = 0.819118
[23:05:43] FileCore: Started App, random = 0.012686
[23:05:43] FileCore: Started App, random = 0.042680
[23:05:43] FileCore: Started App, random = 0.790502
[23:05:43] FileCore: Started App, random = 0.149925
[23:05:43] FileCore: Started App, random = 0.823342
[23:05:43] FileCore: Started App, random = 0.379003
[23:05:43] FileCore: Started App, random = 0.891482
[23:05:43] FileCore: Started App, random = 0.064742
[23:05:43] FileCore: Started App, random = 0.068919
[23:05:43] FileCore: Started App, random = 0.509807
[23:05:43] FileCore: Started App, random = 0.249705
[23:05:43] FileCore: Started App, random = 0.899861
[23:05:43] FileCore: Started App, random = 0.295367
[23:05:43] FileCore: Started App, random = 0.971828
[23:05:43] FileCore: Started App, random = 0.656826
[23:05:43] FileCore: Started App, random = 0.886911
[23:05:43] FileCore: Started App, random = 0.193607
[23:05:43] FileCore: Started App, random = 0.657402
[23:05:43] FileCore: Started App, random = 0.424280
[23:05:43] FileCore: Started App, random = 0.864336
[23:05:43] FileCore: Started App, random = 0.200692
[23:05:43] FileCore: Started App, random = 0.161952
[23:05:43] FileCore: Started App, random = 0.512273
[23:05:43] FileCore: Started App, random = 0.023147
[23:05:43] FileCore: Started App, random = 0.838045
[23:05:43] FileCore: Started App, random = 0.919275
[23:05:43] FileCore: Started App, random = 0.755127
[23:05:43] FileCore: Started App, random = 0.422021
[23:05:43] FileCore: Started App, random = 0.463373
[23:05:43] FileCore: Started App, random = 0.177850
[23:05:43] FileCore: Started App, random = 0.621228
[23:05:43] FileCore: Started App, random = 0.195798
[23:05:43] FileCore: Started App, random = 0.182317
[23:05:43] FileCore: Started App, random = 0.642311
[23:05:43] FileCore: Started App, random = 0.347252
[23:05:43] FileCore: Started App, random = 0.163716
[23:05:43] FileCore: Started App, random = 0.398239
[23:05:43] FileCore: Started App, random = 0.791780
[23:05:43] FileCore: Started App, random = 0.994426
[23:05:43] FileCore: Started App, random = 0.602239
[23:05:43] FileCore: Started App, random = 0.383040
[23:05:43] FileCore: Started App, random = 0.075461
[23:05:43] FileCore: Started App, random = 0.040296
[23:05:43] FileCore: Started App, random = 0.919211
[23:05:43] FileCore: Started App, random = 0.736430
[23:05:43] FileCore: Started App, random = 0.133231
[23:05:43] FileCore: Started App, random = 0.798647
[23:05:43] FileCore: Started App, random = 0.801676
[23:05:43] FileCore: Started App, random = 0.359294
[23:05:43] FileCore: Started App, random = 0.935645
[23:05:43] FileCore: Started App, random = 0.835613
[23:05:43] FileCore: Started App, random = 0.473095
[23:05:43] FileCore: Started App, random = 0.494004
[23:05:43] FileCore: Started App, random = 0.086946
[23:05:43] FileCore: Started App, random = 0.033257
[23:05:43] FileCore: Started App, random = 0.053208
[23:05:43] FileCore: Started App, random = 0.127604
[23:05:43] FileCore: Started App, random = 0.740061
[23:05:43] FileCore: Started App, random = 0.447157
[23:05:43] FileCore: Started App, random = 0.705149
[23:05:43] FileCore: Started App, random = 0.163516
[23:05:43] FileCore: Started App, random = 0.911287
[23:05:43] FileCore: Started App, random = 0.330525
[23:05:43] FileCore: Started App, random = 0.148428
[23:05:43] FileCore: Started App, random = 0.346174
[23:05:43] FileCore: Started App, random = 0.047444
[23:05:43] FileCore: Started App, random = 0.434250
[23:05:43] FileCore: Started App, random = 0.328378
[23:05:43] FileCore: Started App, random = 0.503592
[23:05:43] FileCore: Started App, random = 0.323272
[23:05:43] FileCore: Started App, random = 0.925859
[23:05:43] FileCore: Started App, random = 0.094045
[23:05:43] FileCore: Started App, random = 0.208270
[23:05:43] FileCore: Started App, random = 0.680160
[23:05:43] FileCore: Started App, random = 0.692448
[23:05:43] FileCore: Started App, random = 0.646778
[23:05:43] FileCore: Started App, random = 0.189790
[23:05:43] FileCore: Started App, random = 0.578013
[23:05:43] FileCore: Started App, random = 0.033387
[23:05:43] FileCore: Started App, random = 0.738720
[23:05:43] FileCore: Started App, random = 0.099488
[23:05:43] FileCore: Started App, random = 0.853166
[23:05:43] FileCore: Started App, random = 0.228269
[23:05:43] FileCore: Started App, random = 0.324942
[23:05:43] FileCore: Started App, random = 0.957648
[23:05:43] FileCore: Started App, random = 0.444450
[23:05:43] FileCore: Started App, random = 0.362321
[23:05:43] FileCore: Started App, random = 0.555540
[23:05:43] FileCore: Started App, random = 0.133357
[23:05:43] FileCore: Started App, random = 0.456835
[23:05:43] FileCore: Started App, random = 0.502152
[23:05:43] FileCore: Started App, random = 0.789442
[23:05:43] FileCore: Started App, random = 0.218807
[23:05:43] FileCore: Started App, random = 0.116473
[23:05:43] FileCore: Started App, random = 0.918121
[23:05:43] FileCore: Started App, random = 0.065241
[23:05:43] FileCore: Started App, random = 0.149340
[23:05:43] FileCore: Started App, random = 0.738152
[23:05:43] FileCore: Started App, random = 0.758050
[23:05:43] FileCore: Started App, random = 0.848095
[23:05:43] FileCore: Started App, random = 0.229722
[23:05:43] FileCore: Started App, random = 0.831446
[23:05:43] FileCore: Started App, random = 0.134284
[23:05:43] FileCore: Started App, random = 0.724657
[23:05:43] FileCore: Started App, random = 0.437404
[23:05:43] FileCore: Started App, random = 0.464292
[23:05:43] FileCore: Started App, random = 0.216222
[23:05:43] FileCore: Started App, random = 0.948825
[23:05:43] FileCore: Started App, random = 0.233273
[23:05:43] FileCore: Started App, random = 0.608071
[23:05:43] FileCore: Started App, random = 0.619920
[23:05:43] FileCore: Started App, random = 0.008910
[23:05:43] FileCore: Started App, random = 0.926845
[23:05:43] FileCore: Started App, random = 0.895307
[23:05:43] FileCore: Started App, random = 0.039391
[23:05:43] FileCore: Started App, random = 0.084801
[23:05:43] FileCore: Started App, random = 0.490174
[23:05:43] FileCore: Started App, random = 0.009040
[23:05:43] FileCore: Started App, random = 0.056284
[23:05:43] FileCore: Started App, random = 0.428985
[23:05:43] FileCore: Started App, random = 0.426012
[23:05:43] FileCore: Started App, random = 0.406798
[23:05:43] FileCore: Started App, random = 0.167720
[23:05:43] FileCore: Started App, random = 0.524029
[23:05:43] FileCore: Started App, random = 0.410275
[23:05:43] FileCore: Started App, random = 0.166625
[23:05:43] FileCore: Started App, random = 0.791815
[23:05:43] FileCore: Started App, random = 0.243256
[23:05:43] FileCore: Started App, random = 0.969050
[23:05:43] FileCore: Started App, random = 0.625265
[23:05:43] FileCore: Started App, random = 0.292977
[23:05:43] FileCore: Started App, random = 0.336539
[23:05:43] FileCore: Started App, random = 0.811709
[23:05:43] FileCore: Started App, random = 0.277054
[23:05:43] FileCore: Started App, random = 0.540488
[23:05:43] FileCore: Started App, random = 0.112416
[23:05:43] FileCore: Started App, random = 0.740925
[23:05:43] FileCore: Started App, random = 0.886131
[23:05:43] FileCore: Started App, random = 0.287479
[23:05:43] FileCore: Started App, random = 0.502280
[23:05:43] FileCore: Started App, random = 0.136216
[23:05:43] FileCore: Started App, random = 0.046505
[23:05:43] FileCore: Started App, random = 0.881019
[23:05:43] FileCore: Started App, random = 0.477057
[23:05:43] FileCore: Started App, random = 0.940324
[23:05:43] FileCore: Started App, random = 0.575999
[23:05:43] FileCore: Started App, random = 0.356347
[23:05:43] FileCore: Started App, random = 0.695690
[23:05:43] FileCore: Started App, random = 0.854689
[23:05:43] FileCore: Started App, random = 0.001490
[23:05:43] FileCore: Started App, random = 0.842591
[23:05:43] FileCore: Started App, random = 0.479743
[23:05:43] FileCore: Started App, random = 0.115820
[23:05:43] FileCore: Started App, random = 0.020058
[23:05:43] FileCore: Started App, random = 0.819555
[23:05:43] FileCore: Started App, random = 0.361284
[23:05:43] FileCore: Started App, random = 0.842212
[23:05:43] FileCore: Started App, random = 0.033191
[23:05:43] FileCore: Started App, random = 0.707311
[23:05:43] FileCore: Started App, random = 0.304118
[23:05:43] FileCore: Started App, random = 0.999529
[23:05:43] FileCore: Started App, random = 0.544303
[23:05:43] FileCore: Started App, random = 0.594096
[23:05:43] FileCore: Started App, random = 0.717999
[23:05:43] FileCore: Started App, random = 0.493108
[23:05:43] FileCore: Started App, random = 0.240747
[23:05:43] FileCore: Started App, random = 0.145489
[23:05:43] FileCore: Started App, random = 0.998404
[23:05:43] FileCore: Started App, random = 0.035348
[23:05:43] FileCore: Started App, random = 0.579578
[23:05:43] FileCore: Started App, random = 0.746436
[23:05:43] FileCore: Started App, random = 0.937723
[23:05:43] FileCore: Started App, random = 0.631751
[23:05:43] FileCore: Started App, random = 0.005243
[23:05:43] FileCore: Started App, random = 0.442883
[23:05:43] FileCore: Started App, random = 0.519980
[23:05:43] FileCore: Started App, random = 0.689311
[23:05:43] FileCore: Started App, random = 0.797820
[23:05:43] FileCore: Started App, random = 0.578015
[23:05:43] FileCore: Started App, random = 0.570408
[23:05:43] FileCore: Started App, random = 0.343484
[23:05:43] FileCore: Started App, random = 0.713887
[23:05:43] FileCore: Started App, random = 0.557577
[23:05:43] FileCore: Started App, random = 0.351051
[23:05:43] FileCore: Started App, random = 0.933871
[23:05:43] FileCore: Started App, random = 0.504482
[23:05:43] FileCore: Started App, random = 0.297071
[23:05:43] FileCore: Started App, random = 0.006293
[23:05:43] FileCore: Started App, random = 0.175916
[23:05:43] FileCore: Started App, random = 0.854355
[23:05:43] FileCore: Started App, random = 0.967009
[23:05:43] FileCore: Started App, random = 0.029133
[23:05:43] FileCore: Started App, random = 0.753987
[23:05:43] FileCore: Started App, random = 0.264720
[23:05:43] FileCore: Started App, random = 0.910940
[23:05:43] FileCore: Started App, random = 0.180386
[23:05:43] FileCore: Started App, random = 0.648536
[23:05:43] FileCore: Started App, random = 0.076469
[23:05:43] FileCore: Started App, random = 0.681408
[23:05:43] FileCore: Started App, random = 0.099491
[23:05:43] FileCore: Started App, random = 0.189673
[23:05:43] FileCore: Started App, random = 0.508929
[23:05:43] FileCore: Started App, random = 0.708875
[23:05:43] FileCore: Started App, random = 0.937023
[23:05:43] FileCore: Started App, random = 0.688973
[23:05:43] FileCore: Started App, random = 0.131618
[23:05:43] FileCore: Started App, random = 0.363350
[23:05:43] FileCore: Started App, random = 0.947344
[23:05:43] FileCore: Started App, random = 0.854475
[23:05:43] FileCore: Started App, random = 0.024670
[23:05:43] FileCore: Started App, random = 0.286553
[23:05:43] FileCore: Started App, random = 0.132707
[23:05:43] FileCore: Started App, random = 0.701507
[23:05:43] FileCore: Started App, random = 0.989683
[23:05:43] FileCore: Started App, random = 0.215753
[23:05:43] FileCore: Started App, random = 0.996042
[23:05:43] FileCore: Started App, random = 0.825580
[23:05:43] FileCore: Started App, random = 0.370419
[23:05:43] FileCore: Started App, random = 0.254496
[23:05:43] FileCore: Started App, random = 0.742274
[23:05:43] FileCore: Started App, random = 0.620026
[23:05:43] FileCore: Started App, random = 0.318960
[23:05:43] FileCore: Started App, random = 0.422885
[23:05:43] FileCore: Started App, random = 0.460960
[23:05:43] FileCore: Started App, random = 0.225217
[23:05:43] FileCore: Started App, random = 0.354453
[23:05:43] FileCore: Started App, random = 0.844350
[23:05:43] FileCore: Started App, random = 0.914633
[23:05:43] FileCore: Started App, random = 0.420713
[23:05:43] FileCore: Started App, random = 0.619384
[23:05:43] FileCore: Started App, random = 0.700738
[23:05:43] FileCore: Started App, random = 0.182973
[23:05:43] FileCore: Started App, random = 0.800895
[23:05:43] FileCore: Started App, random = 0.281840
[23:05:43] FileCore: Started App, random = 0.734314
[23:05:43] FileCore: Started App, random = 0.396668
[23:05:43] FileCore: Started App, random = 0.067314
[23:05:43] FileCore: Started App, random = 0.278454
[23:05:43] FileCore: Started App, random = 0.748904
[23:05:43] FileCore: Started App, random = 0.862499
[23:05:43] FileCore: Started App, random = 0.215831
[23:05:43] FileCore: Started App, random = 0.774018
[23:05:43] FileCore: Started App, random = 0.921802
[23:05:43] FileCore: Started App, random = 0.484570
[23:05:43] FileCore: Started App, random = 0.195307
[23:05:43] FileCore: Started App, random = 0.420940
